Image Path,Morphe1,Dist_Morphe1,Morphe2,Dist_Morphe2,Morphe3,Dist_Morphe3,Morphe4,Dist_Morphe4,Morphe5,Dist_Morphe5
data/lfw-deepfunneled/James_Lockhart/James_Lockhart_0001.jpg,deep_red,59.0,deepest_goldenred,71.0,deep_golden,81.0,deep_netural,82.0,deep_rich_goldenred,106.0
data/lfw-deepfunneled/Carl_Reiner/Carl_Reiner_0001.jpg,deep_red,62.0,deepest_goldenred,76.0,deep_golden,84.0,deep_netural,85.0,deep_rich_goldenred,103.0
data/lfw-deepfunneled/Raul_Chacon/Raul_Chacon_0001.jpg,deep_red,58.0,deepest_goldenred,70.0,deep_golden,80.0,deep_netural,81.0,deep_rich_neturalred,107.0
data/lfw-deepfunneled/John_Hartson/John_Hartson_0001.jpg,deep_red,65.0,deepest_goldenred,77.0,deep_golden,87.0,deep_netural,88.0,deep_rich_goldenred,104.0
data/lfw-deepfunneled/Park_Na-kyong/Park_Na-kyong_0001.jpg,deep_tan_pink,53.0,rich_pink,56.0,deep_tan_cool,57.0,deep_tan_olive,61.0,medium_olive_tan,75.0
data/lfw-deepfunneled/William_Macy/William_Macy_0004.jpg,deep_tan_pink,47.0,deep_tan_cool,51.0,rich_pink,54.0,deep_tan_olive,55.0,medium_olive_tan,69.0
data/lfw-deepfunneled/Eddie_Sutton/Eddie_Sutton_0001.jpg,deep_tan_pink,54.0,rich_pink,55.0,deep_tan_cool,58.0,deep_tan_olive,62.0,medium_olive_tan,76.0
data/lfw-deepfunneled/Crispin_Glover/Crispin_Glover_0001.jpg,deep_tan_pink,56.0,rich_pink,57.0,deep_tan_cool,60.0,deep_tan_olive,64.0,medium_olive_tan,78.0
data/lfw-deepfunneled/David_Montoya/David_Montoya_0001.jpg,deep_red,95.0,deep_golden,101.0,rich_netural,107.0,rich_pink,107.0,deep_rich_goldenred,108.0
data/lfw-deepfunneled/Mike_Gable/Mike_Gable_0001.jpg,deep_red,95.0,deep_golden,103.0,rich_netural,109.0,rich_pink,109.0,deep_rich_goldenred,110.0
data/lfw-deepfunneled/Zarai_Toledo/Zarai_Toledo_0002.jpg,deep_red,96.0,deep_golden,104.0,rich_netural,106.0,rich_pink,106.0,deep_tan_pink,109.0
data/lfw-deepfunneled/Ali_Hammoud/Ali_Hammoud_0001.jpg,deep_red,91.0,deep_golden,99.0,deep_rich_goldenred,106.0,rich_netural,111.0,rich_pink,111.0
data/lfw-deepfunneled/Brian_Pavlich/Brian_Pavlich_0001.jpg,fair_light_neutral,50.0,light_pink,58.0,medium_pink,58.0,light_golden,65.0,light_medium_neutral,70.0
data/lfw-deepfunneled/Susan_Sarandon/Susan_Sarandon_0005.jpg,fair_light_neutral,47.0,light_pink,61.0,medium_pink,67.0,light_golden,68.0,fair_light_peach,70.0
data/lfw-deepfunneled/Hermogenes_Ebdane_Jr/Hermogenes_Ebdane_Jr_0001.jpg,fair_light_neutral,50.0,light_pink,60.0,medium_pink,66.0,light_golden,67.0,fair_light_peach,71.0
data/lfw-deepfunneled/Elodie_Bouchez/Elodie_Bouchez_0001.jpg,fair_light_neutral,52.0,light_pink,56.0,medium_pink,56.0,light_golden,63.0,light_medium_neutral,68.0
data/lfw-deepfunneled/David_Kelley/David_Kelley_0001.jpg,rich_pink,87.0,deep_tan_pink,90.0,deep_tan_cool,94.0,deep_tan_olive,98.0,medium_olive_tan,112.0
data/lfw-deepfunneled/Damon_Stoudamire/Damon_Stoudamire_0001.jpg,rich_pink,87.0,deep_tan_pink,90.0,deep_tan_cool,94.0,deep_tan_olive,98.0,medium_olive_tan,112.0
data/lfw-deepfunneled/Guus_Hiddink/Guus_Hiddink_0001.jpg,rich_pink,87.0,deep_tan_pink,90.0,deep_tan_cool,94.0,deep_tan_olive,98.0,medium_olive_tan,112.0
data/lfw-deepfunneled/Olivier_Boulay/Olivier_Boulay_0001.jpg,rich_pink,90.0,deep_tan_pink,93.0,deep_tan_cool,97.0,deep_tan_olive,101.0,deep_rich_netural_gold,112.0
data/lfw-deepfunneled/John_Burkett/John_Burkett_0001.jpg,deep_red,46.0,deepest_goldenred,46.0,deep_netural,57.0,deepest_red,60.0,deep_golden,80.0
data/lfw-deepfunneled/Maria_Sanchez_Lorenzo/Maria_Sanchez_Lorenzo_0001.jpg,deep_red,47.0,deepest_goldenred,55.0,deep_netural,66.0,deepest_red,69.0,deep_golden,81.0
data/lfw-deepfunneled/Carla_Sullivan/Carla_Sullivan_0001.jpg,deep_red,50.0,deepest_goldenred,54.0,deep_netural,65.0,deepest_red,68.0,deep_golden,84.0
data/lfw-deepfunneled/John_Darby/John_Darby_0001.jpg,deep_red,43.0,deepest_goldenred,53.0,deep_netural,64.0,deepest_red,71.0,deep_golden,77.0
data/lfw-deepfunneled/Marc_Gold/Marc_Gold_0001.jpg,deep_golden,58.0,deep_rich_goldenred,67.0,deep_red,68.0,deep_rich_neturalred,85.0,rich_netural,86.0
data/lfw-deepfunneled/Joseph_Fiennes/Joseph_Fiennes_0001.jpg,deep_golden,57.0,deep_rich_goldenred,64.0,deep_red,67.0,rich_netural,83.0,deep_rich_neturalred,84.0
data/lfw-deepfunneled/Melvin_Talbert/Melvin_Talbert_0001.jpg,deep_golden,55.0,deep_red,63.0,deep_rich_goldenred,64.0,deep_rich_neturalred,82.0,rich_netural,83.0
data/lfw-deepfunneled/Enrica_Fico/Enrica_Fico_0001.jpg,deep_golden,54.0,deep_rich_goldenred,61.0,deep_red,68.0,rich_netural,80.0,deep_rich_neturalred,81.0
data/lfw-deepfunneled/Guido_Westerwelle/Guido_Westerwelle_0001.jpg,deep_tan_pink,89.0,medium_neutral,92.0,deep_tan_cool,93.0,deep_tan_olive,93.0,medium_pink,94.0
data/lfw-deepfunneled/Meg_Wakeman/Meg_Wakeman_0001.jpg,deep_tan_pink,92.0,medium_neutral,95.0,medium_pink,95.0,deep_tan_cool,96.0,deep_tan_olive,96.0
data/lfw-deepfunneled/Richard_Jewell/Richard_Jewell_0001.jpg,deep_tan_pink,87.0,medium_neutral,90.0,deep_tan_cool,91.0,deep_tan_olive,91.0,medium_pink,94.0
data/lfw-deepfunneled/Mufti_Mohammad_Syed/Mufti_Mohammad_Syed_0001.jpg,deep_tan_pink,88.0,deep_tan_cool,92.0,deep_tan_olive,92.0,medium_neutral,95.0,medium_pink,95.0
data/lfw-deepfunneled/Marwan_Muasher/Marwan_Muasher_0001.jpg,rich_pink,70.0,deep_rich_netural_gold,76.0,rich_netural,76.0,deep_tan_cool,77.0,deep_tan_pink,77.0
data/lfw-deepfunneled/Norm_Coleman/Norm_Coleman_0002.jpg,rich_pink,68.0,deep_tan_cool,75.0,deep_tan_pink,77.0,deep_rich_netural_gold,78.0,deep_tan_olive,79.0
data/lfw-deepfunneled/Clint_Howard/Clint_Howard_0001.jpg,rich_pink,77.0,rich_netural,79.0,deep_tan_pink,80.0,deep_rich_netural_gold,83.0,deep_tan_cool,84.0
data/lfw-deepfunneled/Carlos_Iturgaitz/Carlos_Iturgaitz_0001.jpg,rich_pink,66.0,deep_rich_netural_gold,74.0,deep_tan_cool,75.0,rich_netural,76.0,deep_tan_olive,77.0
data/lfw-deepfunneled/Paul_McNulty/Paul_McNulty_0001.jpg,medium_pink,53.0,medium_neutral,59.0,medium_olive_tan,68.0,tan_neutral,70.0,tan_golden,73.0
data/lfw-deepfunneled/Rick_Bland/Rick_Bland_0001.jpg,medium_pink,58.0,medium_neutral,60.0,medium_olive_tan,69.0,tan_neutral,71.0,tan_golden,72.0
data/lfw-deepfunneled/Douglas_Faneuil/Douglas_Faneuil_0001.jpg,medium_pink,50.0,medium_neutral,58.0,medium_olive_tan,67.0,tan_neutral,69.0,tan_golden,70.0
data/lfw-deepfunneled/Alejandro_Toledo/Alejandro_Toledo_0002.jpg,medium_pink,52.0,medium_neutral,56.0,medium_olive_tan,65.0,tan_neutral,67.0,medium_golden,74.0
