Image Path,Cluster,Representative,Representative_R,Representative_G,Representative_B,Cluster_R,Cluster_G,Cluster_B
data/lfw-deepfunneled/Kenneth_Brill/Kenneth_Brill_0001.jpg,0,0,207.0,173.0,161.0,208.75133399209486,173.20083003952567,157.81786561264823
data/lfw-deepfunneled/Mika_Hakkinen/Mika_Hakkinen_0001.jpg,0,1,212.0,174.0,155.0,208.75133399209486,173.20083003952567,157.81786561264823
data/lfw-deepfunneled/Carlos_Menem/Carlos_Menem_0004.jpg,0,2,211.0,171.0,160.0,208.75133399209486,173.20083003952567,157.81786561264823
data/lfw-deepfunneled/Annie_Machon/Annie_Machon_0001.jpg,0,3,206.0,175.0,160.0,208.75133399209486,173.20083003952567,157.81786561264823
data/lfw-deepfunneled/John_Fenn/John_Fenn_0001.jpg,1,0,143.0,105.0,91.0,145.11332846715328,107.04168248175182,90.79886131386861
data/lfw-deepfunneled/David_Modell/David_Modell_0001.jpg,1,1,146.0,105.0,92.0,145.11332846715328,107.04168248175182,90.79886131386861
data/lfw-deepfunneled/Philippe_Noiret/Philippe_Noiret_0001.jpg,1,2,143.0,105.0,92.0,145.11332846715328,107.04168248175182,90.79886131386861
data/lfw-deepfunneled/Rod_Jong-il/Rod_Jong-il_0001.jpg,1,3,145.0,105.0,89.0,145.11332846715328,107.04168248175182,90.79886131386861
data/lfw-deepfunneled/Crispin_Glover/Crispin_Glover_0001.jpg,2,0,188.0,134.0,105.0,188.99258317929758,133.19207024029575,104.66695471349352
data/lfw-deepfunneled/Megawati_Sukarnoputri/Megawati_Sukarnoputri_0006.jpg,2,1,190.0,134.0,104.0,188.99258317929758,133.19207024029575,104.66695471349352
data/lfw-deepfunneled/Rod_Blagojevich/Rod_Blagojevich_0002.jpg,2,2,189.0,130.0,104.0,188.99258317929758,133.19207024029575,104.66695471349352
data/lfw-deepfunneled/Tim_Norbeck/Tim_Norbeck_0001.jpg,2,3,188.0,130.0,104.0,188.99258317929758,133.19207024029575,104.66695471349352
